attacker,victim,data,HR@10,HR@10_attack,HR@20,HR@20_attack,HR@50,HR@50_attack,HR@100,HR@100_attack
random,lightgcn,game,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
segment,lightgcn,game,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bandwagon,lightgcn,game,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
average,lightgcn,game,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aush,lightgcn,game,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aia,lightgcn,game,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aushplus,lightgcn,game,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,mf,ml1m,0.005397148676171079,0.008146639511201629,0.01384928716904277,0.020264765784114052,0.051527494908350305,0.0659877800407332,0.12260692464358453,0.13686354378818738
segment,mf,ml1m,0.005397148676171079,0.019348268839103868,0.01384928716904277,0.04439918533604888,0.051527494908350305,0.11272912423625255,0.12260692464358453,0.21507128309572301
bandwagon,mf,ml1m,0.005397148676171079,0.018737270875763747,0.01384928716904277,0.043177189409368634,0.051527494908350305,0.1120162932790224,0.12260692464358453,0.20468431771894094
average,mf,ml1m,0.005397148676171079,0.008146639511201629,0.01384928716904277,0.020264765784114052,0.051527494908350305,0.0659877800407332,0.12260692464358453,0.13686354378818738
aush,mf,ml1m,0.005397148676171079,0.010590631364562118,0.01384928716904277,0.02759674134419552,0.051527494908350305,0.08177189409368635,0.12260692464358453,0.16272912423625255
aia,mf,ml1m,0.005397148676171079,0.012729124236252547,0.01384928716904277,0.029022403258655804,0.051527494908350305,0.08095723014256619,0.12260692464358453,0.16873727087576373
aushplus,mf,ml1m,0.005397148676171079,0.026782077393075355,0.01384928716904277,0.0539714867617108,0.051527494908350305,0.12769857433808554,0.12260692464358453,0.22871690427698574
random,ncf,ml1m,0.006720977596741344,0.012321792260692464,0.01670061099796334,0.026883910386965377,0.048167006109979635,0.06741344195519348,0.1034623217922607,0.12688391038696537
segment,ncf,ml1m,0.006720977596741344,0.01619144602851324,0.01670061099796334,0.03513238289205703,0.048167006109979635,0.08258655804480652,0.1034623217922607,0.15173116089613034
bandwagon,ncf,ml1m,0.006720977596741344,0.01384928716904277,0.01670061099796334,0.032281059063136455,0.048167006109979635,0.07617107942973524,0.1034623217922607,0.14205702647657842
average,ncf,ml1m,0.006720977596741344,0.012321792260692464,0.01670061099796334,0.026883910386965377,0.048167006109979635,0.06741344195519348,0.1034623217922607,0.12688391038696537
aush,ncf,ml1m,0.006720977596741344,0.016293279022403257,0.01670061099796334,0.03167006109979634,0.048167006109979635,0.07158859470468432,0.1034623217922607,0.13309572301425662
aia,ncf,ml1m,0.006720977596741344,0.014256619144602852,0.01670061099796334,0.03177189409368635,0.048167006109979635,0.07240325865580448,0.1034623217922607,0.1310590631364562
aushplus,ncf,ml1m,0.006720977596741344,0.018228105906313647,0.01670061099796334,0.036863543788187375,0.048167006109979635,0.08054989816700611,0.1034623217922607,0.14796334012219958
random,lightgcn,ml1m,0.009775967413441956,0.008146639511201629,0.023217922606924644,0.020468431771894093,0.06038696537678208,0.06395112016293279,0.1270875763747454,0.1310590631364562
segment,lightgcn,ml1m,0.009775967413441956,0.008452138492871691,0.023217922606924644,0.01945010183299389,0.06038696537678208,0.06120162932790224,0.1270875763747454,0.12484725050916497
bandwagon,lightgcn,ml1m,0.009775967413441956,0.008452138492871691,0.023217922606924644,0.01945010183299389,0.06038696537678208,0.06120162932790224,0.1270875763747454,0.12484725050916497
average,lightgcn,ml1m,0.009775967413441956,0.008146639511201629,0.023217922606924644,0.020468431771894093,0.06038696537678208,0.06395112016293279,0.1270875763747454,0.1310590631364562
aush,lightgcn,ml1m,0.009775967413441956,0.008044806517311608,0.023217922606924644,0.018940936863543787,0.06038696537678208,0.059164969450101836,0.1270875763747454,0.12179226069246436
aia,lightgcn,ml1m,0.009775967413441956,0.0068228105906313645,0.023217922606924644,0.019959266802443993,0.06038696537678208,0.05835030549898167,0.1270875763747454,0.11863543788187372
aushplus,lightgcn,ml1m,0.009775967413441956,0.008655804480651732,0.023217922606924644,0.023217922606924644,0.06038696537678208,0.06914460285132383,0.1270875763747454,0.14480651731160896
---,---,---,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
